;Rendement
99;0.09817397174675165
100;0.00940611112842717
101;0.0502313501751415
102;0.029127668513205408
103;-0.0405909113664616
104;-0.04417449445429753
105;-0.0018131415732733558
106;0.02541891453802151
107;0.04893391662494622
108;0.031304229253658916
109;-0.03132049393683744
110;0.004099692823533445
111;-0.013117267003678278
112;0.029822292045660958
113;-0.0011670528667653457
114;0.023960051529482627
115;-0.004271168956757947
116;-0.006442526721524331
117;0.023871044564048843
118;-0.05765653242922198
119;0.07727963934398716
120;0.015930529896383376
121;0.027516823299013567
122;0.02782143426265975
123;0.02444110227139859
124;-0.055757459560447274
125;-0.01446443435814757
126;0.023409344720611357
127;0.021270094423123283
128;0.0039300956425320525
129;0.03495153062826262
130;-0.0001424716037949736
131;0.004946700610029922
132;0.06597225766000121
133;-0.027847582343253095
134;-0.05986837058583688
135;-0.0026093816305944985
136;-0.07817652503888724
137;0.00734533081681036
138;0.06995475883241382
139;0.01654441447601556
140;0.02198725953571227
141;0.02090576952611059
142;0.011284625208574255
143;-0.004360111454150654
144;-0.02320999961853161
145;-0.015154814760205255
146;0.05414695959964149
147;-0.029214240362432947
148;0.018245472809336433
149;0.12340381845237246
150;0.026236382587135693
151;0.032029281883571625
152;-0.012396813493947435
153;0.015073845651069888
154;-0.021812322659543356
155;0.0043976654651665115
156;0.04268575707336211
157;0.0532057697716013
158;0.07436319565602574
159;0.08322199104773745
160;-0.05687241130049927
161;0.013546739978172866
162;0.003701772381144082
163;0.025021890686438297
164;0.027214723086076874
165;0.03205341471135654
166;0.0746042835220588
167;0.021860513018372954
168;0.0958293209119445
169;0.04564384926286962
170;-0.019157670216540624
171;-0.018430556051452385
172;0.008906663600446904
173;0.06677316785207424
174;-0.06896469072491498
175;0.07056937718770101
176;0.07986211764132989
177;-0.0316673876922502
178;-0.021144896260493765
179;-0.03630136958442165
180;0.0001192288208493153
181;0.006158361033498352
182;-0.017806609784399824
183;0.07604599753475455
184;-0.09605212849084097
185;-0.03428123965568219
186;0.04527358885987581
187;0.00047522547408334503
188;-0.008125755711310632
189;-0.01086178609338873
190;0.06898461003780952
191;-0.005573866812244858
192;0.0433655327301264
193;0.010142299209922214
194;0.06183655544302425
195;0.08968022844954035
196;0.05015564776099396
197;0.06143131895014917
198;-0.07057415115654336
199;-0.010050905730952735
200;0.004714125684645012
201;0.030295061650662092
202;0.02590579912635988
203;-0.02327133535097474
204;-0.025699135610194192
205;0.06720445145965898
206;-0.021610795160338796
207;0.06868280045254636
208;-0.001792186321213194
209;0.02659644625850305
210;-0.0009869547311377857
211;0.004105878023106868
212;0.017068996032274554
213;0.03470809326204005
214;0.04090086431467327
215;0.02496074322310136
216;0.06819343733008637
217;0.08785069077462282
218;-0.05156114033833333
219;-0.013931148114095748
220;0.024304058823055214
221;0.07507314872538103
222;0.020862372072707417
223;-0.060951947785565036
224;0.059087345262261975
225;0.11834370211402528
226;0.024668513701347764
227;0.004897260940352766
228;0.022778120348303902
229;-0.019242186317801925
230;0.01605106032787205
231;0.006083760959621429
232;0.027699451665135228
233;-0.010648110729404294
234;-0.012990227395354737
235;0.029646464835076644
236;0.041809329835301695
237;-0.05299258255615726
238;-0.013318875605502
239;-0.013276562907865497
240;0.0006155325438439263
241;0.03235735610943166
242;0.042231737445145544
243;0.03188369183631039
244;0.00922004679593428
245;-0.0028374599821768243
246;0.043604738377069484
247;-0.025841938143624503
248;0.05188133368521505
249;-0.044357343895346873
250;-0.014834819089422809
251;0.03253769688782015
252;0.08579336713487123
253;0.05025620021881423
254;-0.005673199372481008
255;0.019794819970906163
256;-0.07532153314434481
